Movie Title,Year,Score,Adjusted Score,Director,Cast,Consensus
Running Scared,1986,57,58666.0,Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer",
Equilibrium,2002,41,42603.0,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen",Equilibrium is a reheated mishmash of other sci-fi movies.
Hero,2002,94,100740.0,Zhang Yimou,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung Man-yuk, Donnie Yen","With death-defying action sequences and epic historic sweep,"
Road House,1989,40,43852.0,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara",Whether
Unstoppable,2010,87,92748.0,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn","As fast, loud, and relentless as the train at the center of the story,"
Shaft,1971,88,93125.0,Gordon Parks,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi","This is the man that would risk his neck for his brother, man. Can you dig it?"
The Villainess,2017,85,87526.0,Jeong Byeong-gil,"Kim Ok-bin, Shin Ha-kyun, Sung Joon, Kim Seo-hyung",
Highlander,1986,69,72570.0,Russell Mulcahy,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown",People hate
Die Hard 2,1990,69,73321.0,Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson","It lacks the fresh thrills of its predecessor, but"
National Treasure,2004,46,50562.0,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean","National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot."
The Protector,2005,53,54835.0,Prachya Pinkaew,"Tony Jaa, Johnny Nguyen, Nathan Jones, Petchtai Wongkamlao","Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing."
Revenge,2017,93,99104.0,Coralie Fargeat,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume BouchÃ¨de",
Mariachi,1992,94,95504.0,Robert Rodriguez,"Carlos Gallardo, Consuelo GÃ³mez, Reinol Martinez, Peter Marquardt","Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable."
A Touch of Zen,1971,97,101657.0,King Hu,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao","A brilliantly directed feast for the eyes with an epic story to match,"
Top Gun,1986,58,63387.0,Tony Scott,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer","Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action,"
